FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
07/01/2019,Cordoba,33.1267,Dolar,1
07/02/2019,Cordoba,33.1311,Dolar,1
07/03/2019,Cordoba,33.1355,Dolar,1
07/04/2019,Cordoba,33.1399,Dolar,1
07/05/2019,Cordoba,33.1444,Dolar,1
07/06/2019,Cordoba,33.1488,Dolar,1
07/07/2019,Cordoba,33.1532,Dolar,1
07/08/2019,Cordoba,33.1577,Dolar,1
07/09/2019,Cordoba,33.1621,Dolar,1
07/10/2019,Cordoba,33.1665,Dolar,1
07/11/2019,Cordoba,33.171,Dolar,1
07/12/2019,Cordoba,33.1754,Dolar,1
07/13/2019,Cordoba,33.1798,Dolar,1
07/14/2019,Cordoba,33.1843,Dolar,1
07/15/2019,Cordoba,33.1887,Dolar,1
07/16/2019,Cordoba,33.1931,Dolar,1
07/17/2019,Cordoba,33.1976,Dolar,1
07/18/2019,Cordoba,33.202,Dolar,1
07/19/2019,Cordoba,33.2065,Dolar,1
07/20/2019,Cordoba,33.2109,Dolar,1
07/21/2019,Cordoba,33.2153,Dolar,1
07/22/2019,Cordoba,33.2198,Dolar,1
07/23/2019,Cordoba,33.2242,Dolar,1
07/24/2019,Cordoba,33.2287,Dolar,1
07/25/2019,Cordoba,33.2331,Dolar,1
07/26/2019,Cordoba,33.2375,Dolar,1
07/27/2019,Cordoba,33.242,Dolar,1
07/28/2019,Cordoba,33.2464,Dolar,1
07/29/2019,Cordoba,33.2509,Dolar,1
07/30/2019,Cordoba,33.2553,Dolar,1
07/31/2019,Cordoba,33.2598,Dolar,1
