Codigo;Descripcion;Costo;154-PUBLICO-abs;"155-CREDITO MAYORIZTA-abs";"156-CREDITO DETALLE-abs"
ITT00000000;"NO en uso";34.5077;6000.00000000;6000.00000000;6000.00000000
ITT00000001;"NO en uso 2";1.0000;6000.00000000;6000.00000000;6000.00000000
ITT00000594;"Ropero de 3 cuerpo Golit de Madera";1234.0000;500.00000000;500.00000000;500.00000000
ITT00000595;"Computadora #2";0.0000;0;0;0
ITT00000596;"Computadora #2";0.0000;0;0;0
ITT00000597;"Computadora #2";0.0000;0;0;0
ITT00000598;"Computadora #2";0.0000;0;0;0
ITT00000599;"Computadora #2";0.0000;0;0;0
ITT00000600;"Computadora #2";0.0000;0;0;0
ITT00000601;"Computadora #2";0.0000;0;0;0
ITT00000602;"Computadora #2";0.0000;0;0;0
ITT00000603;"Computadora #2";0.0000;0;0;0
ITT00000604;"Computadora #2";0.0000;0;0;0
ITT00000605;"Computadora #2";0.0000;0;0;0
ITT00000606;"Computadora #2";0.0000;0;0;0
ITT00000607;"Computadora #7";0.0000;300.00000000;300.00000000;300.00000000
ITT00000608;"Computadora #8";0;400;400;400
