Codigo;Nombre;U/M;Categoria;Cantidad;Costo
ITT00000000;NO en uso;LITRO;Camas y Colchones Olympia;50;34.5077
ITT00000001;NO en uso 2;LITRO;Camas y Colchones Olympia;50;1
ITT00000594;Ropero de 3 cuerpo Golit de Madera;KG;Roperos y tocadores;50;1234
ITT00000595;Teclado 002 Sin Existencia;KG;Camas y Colchones Olympia;50;0
ITT00000596;Computadora #2;KG;Camas y Colchones Olympia;50;0
ITT00000597;Computadora #2;KG;Camas y Colchones Olympia;50;0
ITT00000598;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000599;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000600;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000601;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000602;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000603;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000604;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000605;Computadora #2;KG;Camas y Colchones Olympia;5;0
ITT00000606;Computadora #2;KG;Camas y Colchones Olympia;0;0
ITT00000607;Computadora #7;KG;Camas y Colchones Olympia;495;0
